date,void_start,void_end,moon_sign
2026-01-03,08:15,14:30,gemini
2026-01-08,11:20,18:45,leo
2026-01-13,14:00,22:15,virgo
2026-01-18,07:30,15:00,scorpio
2026-01-23,09:45,17:20,sagittarius
2026-01-28,12:00,20:30,capricorn
2026-02-02,06:15,13:45,pisces
2026-02-07,10:30,19:00,aries
2026-02-12,15:45,23:30,taurus
2026-02-17,08:00,16:20,gemini
2026-02-22,11:15,19:45,cancer
2026-02-27,13:30,21:00,leo
2026-03-04,07:45,15:15,virgo
2026-03-09,10:00,18:30,libra
2026-03-14,14:15,22:45,scorpio
2026-03-19,06:30,14:00,sagittarius
2026-03-24,09:00,17:30,capricorn
2026-03-29,12:15,20:45,aquarius
2026-04-03,15:30,23:00,pisces
2026-04-08,08:45,16:15,aries
2026-04-13,11:00,19:30,taurus
2026-04-18,13:15,21:45,gemini
2026-04-23,06:00,13:30,cancer
2026-04-28,09:15,17:45,leo
2026-05-03,12:30,20:00,virgo
2026-05-08,14:45,22:15,libra
2026-05-13,07:00,15:30,scorpio
2026-05-18,10:15,18:45,sagittarius
2026-05-23,13:30,21:00,capricorn
2026-05-28,15:45,23:15,aquarius
2026-06-02,08:00,16:30,pisces
2026-06-07,11:15,19:45,aries
2026-06-12,14:30,22:00,taurus
2026-06-17,06:45,14:15,gemini
2026-06-22,09:00,17:30,cancer
2026-06-27,12:15,20:45,leo
2026-07-02,15:30,23:00,virgo
2026-07-07,07:45,15:15,libra
2026-07-12,10:00,18:30,scorpio
2026-07-17,13:15,21:45,sagittarius
2026-07-22,05:30,13:00,capricorn
2026-07-27,08:45,16:15,aquarius
2026-08-01,12:00,19:30,pisces
2026-08-06,14:15,21:45,aries
2026-08-11,06:30,14:00,taurus
2026-08-16,09:45,17:15,gemini
2026-08-21,13:00,20:30,cancer
2026-08-26,15:15,22:45,leo
2026-08-31,07:30,15:00,virgo
2026-09-05,10:45,18:15,libra
2026-09-10,14:00,21:30,scorpio
2026-09-15,06:15,13:45,sagittarius
2026-09-20,09:30,17:00,capricorn
2026-09-25,12:45,20:15,aquarius
2026-09-30,15:00,22:30,pisces
2026-10-05,07:15,14:45,aries
2026-10-10,10:30,18:00,taurus
2026-10-15,13:45,21:15,gemini
2026-10-20,06:00,13:30,cancer
2026-10-25,09:15,16:45,leo
2026-10-30,12:30,20:00,virgo
2026-11-04,14:45,22:15,libra
2026-11-09,07:00,14:30,scorpio
2026-11-14,10:15,17:45,sagittarius
2026-11-19,13:30,21:00,capricorn
2026-11-24,15:45,23:15,aquarius
2026-11-29,08:00,15:30,pisces
2026-12-04,11:15,18:45,aries
2026-12-09,14:30,22:00,taurus
2026-12-14,06:45,14:15,gemini
2026-12-19,09:00,16:30,cancer
2026-12-24,12:15,19:45,leo
2026-12-29,15:30,23:00,virgo
